lat,lon,populacija,kategorija,boja,tip_punjaca
25.37916690115,51.520832407250026,716.7453002929688,1,red,AC nivo 2
25.17916690195,51.57916574035003,699.6927490234375,2,blue,DC
25.17083356865,51.562499073750026,694.7470092773438,4,green,AC nivo 2
25.19583356855,51.57916574035003,694.1594848632812,2,blue,DC
25.37083356785,51.520832407250026,689.2548217773438,2,blue,DC
25.35416690125,51.38749907445003,686.3555297851562,1,red,AC nivo 2
25.33750023465,51.37083240785003,677.46875,2,blue,DC
25.320833568050002,51.35416574125003,670.406982421875,4,green,AC nivo 2
25.39583356775,51.520832407250026,669.5269775390625,1,red,AC nivo 2
25.18750023525,51.40416574105003,668.6010131835938,4,green,AC nivo 2
25.15416690205,51.420832407650025,662.4960327148438,2,blue,DC
25.29583356815,51.512499073950025,660.8982543945312,3,yellow,Ultra brzi
25.162500235350002,51.57916574035003,659.1550903320312,2,blue,DC
25.32916690135,51.35416574125003,654.7889404296875,3,yellow,Ultra brzi
25.18750023525,51.38749907445003,648.0586547851562,3,yellow,Ultra brzi
25.20416690185,51.50416574065003,626.4557495117188,1,red,AC nivo 2
25.21250023515,51.40416574105003,618.8345947265625,1,red,AC nivo 2
25.33750023465,51.41249907435003,614.5576782226562,3,yellow,Ultra brzi
25.21250023515,51.562499073750026,613.61572265625,1,red,AC nivo 2
25.19583356855,51.612499073550026,612.8484497070312,2,blue,DC
25.20416690185,51.54583240715003,604.9892578125,1,red,AC nivo 2
25.37916690115,51.512499073950025,602.9232788085938,2,blue,DC
25.412500234350002,51.45416574085003,600.5103149414062,1,red,AC nivo 2
25.37083356785,51.46249907415003,589.724365234375,1,red,AC nivo 2
25.162500235350002,51.470832407450025,584.6456298828125,1,red,AC nivo 2
25.17083356865,51.47916574075003,584.1395874023438,4,green,AC nivo 2
25.33750023465,51.520832407250026,582.3910522460938,2,blue,DC
25.387500234450002,51.520832407250026,575.5986328125,2,blue,DC
25.412500234350002,51.50416574065003,569.7665405273438,2,blue,DC
25.33750023465,51.35416574125003,568.5040283203125,3,yellow,Ultra brzi
25.28750023485,51.562499073750026,566.1072387695312,2,blue,DC
25.15416690205,51.41249907435003,561.8777465820312,1,red,AC nivo 2
25.26250023495,51.43749907425003,559.5805053710938,1,red,AC nivo 2
25.26250023495,51.562499073750026,556.7811279296875,3,yellow,Ultra brzi
25.17083356865,51.49583240735003,555.8959350585938,2,blue,DC
25.18750023525,51.57083240705003,555.572509765625,2,blue,DC
25.29583356815,51.379165741150025,541.61962890625,1,red,AC nivo 2
25.162500235350002,51.512499073950025,540.8199462890625,1,red,AC nivo 2
25.35416690125,51.420832407650025,540.0070190429688,1,red,AC nivo 2
25.17083356865,51.612499073550026,539.697509765625,1,red,AC nivo 2
25.22083356845,51.40416574105003,538.659912109375,2,blue,DC
25.35416690125,51.37083240785003,535.684326171875,1,red,AC nivo 2
25.22083356845,51.52916574055003,524.5366821289062,2,blue,DC
25.22083356845,51.54583240715003,524.2754516601562,1,red,AC nivo 2
25.320833568050002,51.53749907385003,519.9795532226562,2,blue,DC
25.19583356855,51.52916574055003,518.7982177734375,4,green,AC nivo 2
25.17916690195,51.53749907385003,514.7882080078125,1,red,AC nivo 2
25.229166901750002,51.40416574105003,500.8554382324219,2,blue,DC
25.162500235350002,51.41249907435003,499.0244445800781,2,blue,DC
25.37083356785,51.512499073950025,498.26922607421875,1,red,AC nivo 2
25.15416690205,51.40416574105003,494.6006774902344,3,yellow,Ultra brzi
25.17916690195,51.36249907455003,492.91668701171875,1,red,AC nivo 2
25.20416690185,51.49583240735003,484.1935119628906,3,yellow,Ultra brzi
25.162500235350002,51.39583240775003,479.98681640625,1,red,AC nivo 2
25.30416690145,51.429165740950026,479.6212463378906,1,red,AC nivo 2
25.20416690185,51.53749907385003,477.540283203125,1,red,AC nivo 2
25.15416690205,51.48749907405003,476.0416259765625,2,blue,DC
